,energy_GeV,event_count
0,184.97253,0
1,185.46254,0
2,185.95253,0
3,186.44254,0
4,186.93254,0
5,187.42253,1
6,187.91254,0
7,188.40253,0
8,188.89253,0
9,189.38254,0
10,189.87253,0
11,190.36253,0
12,190.85254,0
13,191.34253,0
14,191.83253,0
15,192.32254,1
16,192.81253,0
17,193.30254,0
18,193.79254,0
19,194.28253,0
20,194.77254,0
21,195.26253,0
22,195.75253,0
23,196.24254,0
24,196.73253,0
25,197.22253,0
26,197.71254,0
27,198.20253,1
28,198.69254,0
29,199.18254,2
30,199.67253,0
31,200.16254,0
32,200.65253,1
33,201.14253,0
34,201.63254,0
35,202.12253,0
36,202.61253,1
37,203.10254,1
38,203.59253,0
39,204.08253,0
40,204.57254,1
41,205.06253,0
42,205.55254,0
43,206.04254,0
44,206.53253,0
45,207.02254,0
46,207.51253,0
47,208.00253,0
48,208.49254,0
49,208.98253,0
50,209.47253,0
51,209.96254,0
52,210.45253,0
53,210.94254,2
54,211.43254,0
55,211.92253,0
56,212.41254,0
57,212.90253,1
58,213.39253,1
59,213.88254,2
60,214.37253,0
61,214.86253,0
62,215.35254,0
63,215.84253,2
64,216.33253,1
65,216.82254,0
66,217.31253,0
67,217.80254,1
68,218.29254,2
69,218.78253,0
70,219.27254,1
71,219.76253,2
72,220.25253,2
73,220.74254,3
74,221.23253,2
75,221.72253,3
76,222.21254,3
77,222.70253,2
78,223.19254,8
79,223.68254,7
80,224.17253,2
81,224.66254,6
82,225.15253,9
83,225.64253,15
84,226.13254,19
85,226.62253,16
86,227.11253,17
87,227.60254,25
88,228.09253,26
89,228.58253,35
90,229.07254,49
91,229.56253,59
92,230.05254,68
93,230.54254,63
94,231.03253,83
95,231.52254,80
96,232.01253,83
97,232.50253,100
98,232.99254,99
99,233.48253,107
100,233.97253,106
101,234.46254,134
102,234.95253,126
103,235.44254,105
104,235.93254,115
105,236.42253,111
106,236.91254,92
107,237.40253,90
108,237.89253,68
109,238.38254,63
110,238.87253,63
111,239.36253,44
112,239.85254,35
113,240.34253,33
114,240.83253,23
115,241.32254,24
116,241.81253,15
117,242.30254,18
118,242.79254,14
119,243.28253,8
120,243.77254,4
121,244.26253,7
122,244.75253,6
123,245.24254,1
124,245.73253,4
125,246.22253,2
126,246.71254,1
127,247.20253,0
128,247.69254,0
129,248.18254,0
130,248.67253,0
131,249.16254,0
132,249.65253,0
133,250.14253,0
134,250.63254,0
135,251.12253,0
136,251.61253,0
137,252.10254,0
138,252.59253,0
139,253.08253,0
140,253.57254,0
141,254.06253,0
142,254.55254,0
143,255.04254,0
144,255.53253,0
145,256.02252,0
146,256.51254,0
147,257.00253,0
148,257.49252,0
149,257.98254,0
150,258.47253,0
151,258.96252,0
152,259.45255,0
153,259.94254,0
154,260.43253,0
155,260.92255,0
156,261.41254,0
157,261.90253,0
158,262.39255,0
159,262.88254,0
160,263.37253,0
161,263.86255,0
162,264.35254,0
163,264.84253,0
164,265.33252,0
165,265.82254,0
166,266.31253,0
167,266.80252,0
168,267.29254,0
169,267.78253,0
170,268.27252,0
171,268.76254,0
172,269.25253,0
173,269.74252,0
174,270.23254,0
175,270.72253,0
176,271.21252,0
177,271.70255,0
178,272.19254,0
179,272.68253,0
180,273.17255,0
181,273.66254,0
182,274.15253,0
183,274.64255,0
184,275.13254,0
185,275.62253,0
186,276.11255,0
187,276.60254,0
188,277.09253,0
189,277.58252,0
190,278.07254,0
191,278.56253,0
192,279.05252,0
193,279.54254,0
194,280.03253,0
195,280.52252,0
196,281.01254,0
197,281.50253,0
198,281.99252,0
199,282.48254,0
